qual_id,race_id,season,round,driver_id,constructor_id,q1,q2,q3,position
169,9,2014,8,vergne,toro_rosso,1:10.161,1:10.073,,15
170,9,2014,8,grosjean,lotus_f1,1:10.461,1:10.642,,16
171,9,2014,8,sutil,sauber,1:10.825,,,17
172,9,2014,8,gutierrez,sauber,1:11.349,,,18
173,9,2014,8,jules_bianchi,marussia,1:11.412,,,19
174,9,2014,8,kobayashi,caterham,1:11.673,,,20
175,9,2014,8,chilton,marussia,1:11.775,,,21
176,9,2014,8,ericsson,caterham,1:12.673,,,22
177,10,2014,9,rosberg,mercedes,1:40.380,1:35.179,1:35.766,1
178,10,2014,9,vettel,red_bull,1:45.086,1:36.410,1:37.386,2
179,10,2014,9,button,mclaren,1:44.425,1:36.579,1:38.200,3
180,10,2014,9,hulkenberg,force_india,1:41.271,1:37.112,1:38.329,4
181,10,2014,9,kevin_magnussen,mclaren,1:42.507,1:37.370,1:38.417,5
182,10,2014,9,hamilton,mercedes,1:41.058,1:34.870,1:39.232,6
183,10,2014,9,perez,force_india,1:42.146,1:37.350,1:40.457,7
184,10,2014,9,ricciardo,red_bull,1:44.710,1:38.166,1:40.606,8
185,10,2014,9,kvyat,toro_rosso,1:41.032,1:36.813,1:40.707,9
186,10,2014,9,vergne,toro_rosso,1:43.040,1:37.800,1:40.855,10
187,10,2014,9,grosjean,lotus_f1,1:43.121,1:38.496,,11
188,10,2014,9,jules_bianchi,marussia,1:41.169,1:38.709,,12
189,10,2014,9,chilton,marussia,1:42.082,1:39.800,,13
190,10,2014,9,gutierrez,sauber,1:43.285,1:40.912,,14
191,10,2014,9,maldonado,lotus_f1,1:43.892,1:44.018,,15
192,10,2014,9,sutil,sauber,1:42.603,,,16
193,10,2014,9,bottas,williams,1:45.318,,,17
194,10,2014,9,massa,williams,1:45.695,,,18
195,10,2014,9,alonso,ferrari,1:45.935,,,19
196,10,2014,9,raikkonen,ferrari,1:46.684,,,20
197,10,2014,9,ericsson,caterham,1:49.421,,,21
198,10,2014,9,kobayashi,caterham,1:49.625,,,22
199,11,2014,10,rosberg,mercedes,1:17.631,1:17.109,1:16.540,1
200,11,2014,10,bottas,williams,1:18.215,1:17.353,1:16.759,2
201,11,2014,10,massa,williams,1:18.381,1:17.370,1:17.078,3
202,11,2014,10,kevin_magnussen,mclaren,1:18.260,1:17.788,1:17.214,4
203,11,2014,10,ricciardo,red_bull,1:18.117,1:17.855,1:17.273,5
204,11,2014,10,vettel,red_bull,1:18.194,1:17.646,1:17.577,6
